Startup Name,Link,Country,Category,Social Links,Pitch
Careship,https://websummit.com/appearances/lis24/27787a81-963b-4149-b68d-0775d198c68b/careship,Germany,Healthtech & wellness,"{'linkedin': 'https://www.linkedin.com/company/careship', 'com/careship': 'https://instagram.com/careship', 'facebook': 'https://www.facebook.com/careship.alltagshilfe', 'careship': 'https://www.careship.de/'}","The one-stop care platform with insurance reimbursable care companionship, care consultancy, an online academy and a broad partner network."
Cerbos,https://websummit.com/appearances/lis24/3425f5d0-b124-47d5-81b2-7ec5501a0583/cerbos,United Kingdom,Security,"{'linkedin': 'https://www.linkedin.com/company/cerbos-dev', 'crunchbase': 'https://www.crunchbase.com/organization/cerbos', 'dev': 'https://cerbos.dev'}","Scalable, fine-grained permission management that just works"
Co:Create,https://websummit.com/appearances/lis24/c3d453d3-b4c6-4e14-907b-c9246b4d4f63/co%3Acreate,United States,SaaS,"{'com/usecocreate': 'https://twitter.com/usecocreate', 'usecocreate': 'https://www.usecocreate.io/'}","Co:Create is the most flexible, API-first community activation & rewards platform powered by web3."
Deeploy,https://websummit.com/appearances/lis24/9b0ab4f8-a98d-4d7b-b353-94787008263e/deeploy,Portugal,HR & recruitment,"{'linkedin': 'https://www.linkedin.com/company/deeploy-me', 'com/deeploy': 'https://instagram.com/deeploy.me', 'facebook': 'https://www.facebook.com/deeploy.me', 'deeploy': 'https://www.deeploy.me'}","A global platform for recruiting and outsourcing Product Design teams, with a community of skilled and mentored UX/UI designers."
DexNet,https://websummit.com/appearances/lis24/76ac9bcf-46a5-4371-b6ce-5762a09b0936/dexnet,United Arab Emirates,Security,"{'com/dexnet_one': 'https://x.com/dexnet_one', 'one/': 'https://dexnet.one/'}","Innovative IT brand in decentralized solutions—providing blockchain nodes, crypto wallets, and secure, fully decentralized storage."
DIGINAK,https://websummit.com/appearances/lis24/62eed721-134c-42c3-8ed7-180cb4935ea5/diginak,Türkiye,Fintech & financial services,"{'linkedin': 'https://www.linkedin.com/company/diginak', 'crunchbase': 'https://www.crunchbase.com/organization/diginak-com', 'com/diginakcom': 'https://twitter.com/diginakcom', 'facebook': 'https://www.facebook.com/diginakcom', 'com/': 'https://diginak.com/'}",Diginak eliminates the friction in freight payment processes for all stakeholders. Diginak is also a SaaS for independent freight agents.
DigitalTwin Technology GmbH,https://websummit.com/appearances/lis24/5c23d34d-f04b-4216-b696-60acc09490a1/digitaltwin-technology-gmbh,Germany,Proptech & real estate,"{'linkedin': 'https://www.linkedin.com/company/digitaltwin-technology', 'com/digitaltwintech': 'https://twitter.com/digitaltwintech', 'facebook': 'https://www.facebook.com/pg/digitaltwintechnology', 'digitaltwin': 'https://www.digitaltwin.technology'}",Digitising and transforming the construction industry
dilizy,https://websummit.com/appearances/lis24/3d0d2c72-8a1a-4129-acdd-69f425e31485/dilizy,Estonia,"Mobility, transportation & logistics","{'linkedin': 'https://www.linkedin.com/company/dilizy', 'com/dilizy': 'https://instagram.com/dilizy.ai', 'facebook': 'https://www.facebook.com/people/dilizyai/61554718705753', 'ai': 'https://dilizy.ai'}",ERP+DMS+CRM in one AI-driven ecosystem for Auto Dealers and Service Providers
DIO,https://websummit.com/appearances/lis24/fbaae01f-0872-4ba6-b5ce-14d25b2b0025/dio,Brazil,Education,"{'linkedin': 'https://www.linkedin.com/school/dio-makethechange', 'crunchbase': 'https://www.crunchbase.com/organization/digital-innovation-one', 'com/dio_makethechange': 'https://instagram.com/dio_makethechange', 'com/dio_me_': 'https://twitter.com/dio_me_', 'me': 'https://dio.me'}","The AI-powered education platform chosen by 1.5 million IT professionals, enabling companies to hire top tech talent at scale."
DNXT,https://websummit.com/appearances/lis24/08abdac5-5227-4c83-94a2-82b43d17f49b/dnxt,Switzerland,Fintech & financial services,"{'com/DiamondNxt1': 'https://x.com/DiamondNxt1', 'com': 'https://diamondnxt.com'}",The most secure RWA investment platform that natively integrates into financial institutions to enable them to offer investment diamonds
Dr. Kegel App,https://websummit.com/appearances/lis24/d0a4d578-67aa-46be-9dfd-5052ef621d8d/dr.-kegel-app,Poland,Healthtech & wellness,"{'linkedin': 'https://www.linkedin.com/in/daniel-klim-aa222b173', 'eu': 'https://appercut.eu'}",#1 Men's Sexual Wellness App | 5-Min Interactive Workouts | Installs: 4M+
Educatly,https://websummit.com/appearances/lis24/9a21308a-5216-4137-a875-ee445b3e7fe3/educatly,Egypt,Education,"{'linkedin': 'https://www.linkedin.com/company/18734622', 'crunchbase': 'https://www.crunchbase.com/organization/educatly', 'com/educatly': 'https://instagram.com/educatly', 'com/educatly?lang=en': 'https://x.com/educatly?lang=en', 'facebook': 'https://www.facebook.com/educatly', 'educatly': 'https://www.educatly.com/'}","Educatly is the LinkedIn for education, an educational network helping students to decide what and where to study"
Eduvem,https://websummit.com/appearances/lis24/4875cfef-32be-4fcc-9482-c45e8af3fd5c/eduvem,Brazil,Education,"{'linkedin': 'https://www.linkedin.com/company/eduvem', 'com/eduvem': 'https://instagram.com/eduvem.edutech', 'com': 'https://eduvem.com', 'facebook': 'https://www.facebook.com/eduvem.edutech'}",#1 Platform for building Corporate Universities. An innovative experience for L&D and Digital Events.
Eleos,https://websummit.com/appearances/lis24/0bedb454-9891-4cd5-b4ea-6847eb6ad634/eleos,United Kingdom,Fintech & financial services,"{'linkedin': 'https://www.linkedin.com/company/witheleos', 'crunchbase': 'https://www.crunchbase.com/organization/eleos-174a', 'com/eleos_life': 'https://instagram.com/eleos_life', 'com/witheleos': 'https://x.com/witheleos', 'eleos': 'https://partner.eleos.co.uk'}",Eleos embeds income protection and life insurance into everyday apps so consumers can easily buy cover within platforms they know and trust.
Embedl,https://websummit.com/appearances/lis24/828590ac-11fd-4de4-a65c-9cfefba7b58f/embedl,Sweden,AI & machine learning,"{'linkedin': 'https://www.linkedin.com/company/embedl', 'crunchbase': 'https://www.crunchbase.com/organization/embedl', 'com/embedl_': 'https://instagram.com/embedl_', 'facebook': 'https://www.facebook.com/p/Embedl-AB-100088717652886', 'embedl': 'https://www.embedl.com/'}","Build exceptional edge AI products. Find the perfect model for your needs, fine-tune on your data, and deploy seamlessly to any hardware."
Energy Robotics,https://websummit.com/appearances/lis24/1a4e73b8-3eb3-4df4-afc5-5b3bc2b70303/energy-robotics,Germany,Energy & utilities,"{'linkedin': 'https://www.linkedin.com/company/energy-robotics', 'com': 'https://energy-robotics.com'}","We release humans from dull, dirty and dangerous tasks in industrial operations with our hardware-agnostic robot and drone platform"
Enso Coliving,https://websummit.com/appearances/lis24/8d9fd646-2f14-4a3f-8824-12520ae8ecd4/enso-coliving,Spain,Proptech & real estate,"{'linkedin': 'https://www.linkedin.com/company/enso-coliving/mycompany', 'crunchbase': 'https://www.crunchbase.com/organization/enso-coliving', 'com/enso_coliving': 'https://instagram.com/enso_coliving', 'com/ensocoliving': 'https://x.com/ensocoliving', 'facebook': 'https://www.facebook.com/profile.php?id=61556780132994&locale=es_LA', 'com/': 'https://ensocoliving.com/'}","Elevate your lifestyle in our global network of premium coliving spaces. Designed for optimum living, efficient work and genuine connection."
EverHelp,https://websummit.com/appearances/lis24/f73f6b2c-d1d1-41ad-88d5-1e4d99c32bcb/everhelp,Gibraltar,Telecommunications & IT,"{'linkedin': 'https://www.linkedin.com/company/everhelp', 'com/everhelp': 'https://instagram.com/everhelp.team?igsh=OTV3bWUxMWsxeDlr', 'ever-help': 'https://www.ever-help.com/'}","Subscription-based customer support, handled with care. Our proprietary platform ensures top-notch service and actionable insights."
evismo AG,https://websummit.com/appearances/lis24/a0c9f0d4-dc91-41eb-8fae-724cdde5513f/evismo-ag,Switzerland,Healthtech & wellness,"{'linkedin': 'https://www.linkedin.com/company/evismo', 'evismo': 'https://www.evismo.com'}","evismo offers Diagnostics as a Service for healthcare professionals delivering better access, better data and better outcomes."
Finoa,https://websummit.com/appearances/lis24/030a70e1-e935-423a-9c5f-0d6fe63779dc/finoa,Germany,Fintech & financial services,"{'co/finoa': 'https://angel.co/finoa', 'de': 'https://www.de.linkedin.com/company/finoa-io', 'crunchbase': 'https://www.crunchbase.com/organization/finoa', 'com/Finoa_io': 'https://twitter.com/Finoa_io', 'io': 'https://finoa.io'}",Regulated and secure platform for institutional investors and corporations to interact with the world of digital assets.
fiskaltrust,https://websummit.com/appearances/lis24/490ee6ef-8eca-46a6-88ef-32ea5193817b/fiskaltrust,Austria,Fintech & financial services,"{'linkedin': 'https://www.linkedin.com/company/fiskaltrust', 'eu': 'https://fiskaltrust.eu'}","We know how to deal with local regulations, payments, value-added-taxes, and receipts."
Flawless,https://websummit.com/appearances/lis24/a4f3b125-092c-4cc3-958b-c3b1e1817c18/flawless,United Kingdom,AI & machine learning,"{'linkedin': 'https://www.linkedin.com/company/flawlessai', 'com/flawlesai': 'https://instagram.com/flawlesai', 'com/flawlessai': 'https://twitter.com/flawlessai', 'flawlessai': 'https://www.flawlessai.com/'}",Flawless provides ethical AI editing software for filmmakers and advertisers.
Fleet SL,https://websummit.com/appearances/lis24/397c66ff-2550-404d-af4f-535e566ed9a9/fleet-sl,Spain,"Hardware, robotics & IoT","{'linkedin': 'https://www.linkedin.com/company/fleet-computer', 'crunchbase': 'https://www.crunchbase.com/organization/fleet-f2cb', 'co/en': 'https://fleet.co/en'}","Fleet simplifies the leasing, administration, and renewal of your IT equipment and office furniture through an all-in-one solution"
Flodesk,https://websummit.com/appearances/lis24/62d37e6c-dadd-4d38-b128-ed46937ff73b/flodesk,United States,"Advertising, content & marketing","{'com/flodesk': 'https://instagram.com/flodesk', 'com': 'https://flodesk.com'}","Flodesk makes email marketing simple. Create stunning emails, automate workflows, and grow your list with branded forms and landing pages."
Folks Finance,https://websummit.com/appearances/lis24/49728680-d341-49ee-9c7d-7137bcc9944d/folks-finance,Italy,Fintech & financial services,"{'linkedin': 'https://www.linkedin.com/company/folksfinance', 'crunchbase': 'https://www.crunchbase.com/organization/folks-finance', 'com/folksfinance': 'https://twitter.com/folksfinance', 'facebook': 'https://www.facebook.com/folksfinanceofficial', 'finance/': 'https://folks.finance/'}",Simple crosschain DeFi. Smart folks use Folks.
Forkbomb BV,https://websummit.com/appearances/lis24/4ec73275-784f-4648-b567-7f23847c77b1/forkbomb-bv,Netherlands,SaaS,"{'linkedin': 'https://www.linkedin.com/company/forkbomb', 'crunchbase': 'https://www.crunchbase.com/organization/forkbomb', 'solutions': 'https://forkbomb.solutions'}","Cryptographic solution: digital identity, post-quantum cryptography, digital product passport"
Frontnow GmbH,https://websummit.com/appearances/lis24/bdcb641e-0aae-4fe9-9d57-8116a1f387dd/frontnow-gmbh,Germany,SaaS,"{'linkedin': 'https://www.linkedin.com/company/frontnow', 'com/frontnow': 'https://instagram.com/frontnow.ai', 'com/frontnowai': 'https://twitter.com/frontnowai', 'com': 'https://frontnow.com'}","Our GenAI technologies elevate E-commerce by enhancing KPIs and delivering a seamless, store-like online experience."
Fu2re Smart Solutions,https://websummit.com/appearances/lis24/40c79adc-5ff1-4789-8050-21faf0f7695b/fu2re-smart-solutions,Brazil,AI & machine learning,"{'linkedin': 'https://www.linkedin.com/company/fu2re', 'com/fu2re': 'https://x.com/fu2re', 'facebook': 'https://www.facebook.com/fu2resmartsolutions', 'fu2re': 'http://www.fu2re.com.br'}",Unleash for everyone the Artificial Intelligence power to image recognition applying cutting-edge Fu2re's NVIDIA accelerated solutions
GEEIQ,https://websummit.com/appearances/lis24/931802dc-4277-4241-b557-bcc4d7d1d03f/geeiq,United Kingdom,"Advertising, content & marketing","{'com/geeiqinsights': 'https://x.com/geeiqinsights', 'com': 'https://geeiq.com'}","GEEIQ is the platform and experts behind the most dominant brands in virtual worlds & gaming, from Walmart and H&M, to L'Oréal and NASCAR."
Headway,https://websummit.com/appearances/lis24/b8ac8b4c-09b7-40df-8a33-7caeab066380/headway,Ukraine,Education,"{'linkedin': 'https://www.linkedin.com/company/gthw-app-limited', 'crunchbase': 'https://www.crunchbase.com/organization/headway-9eae', 'com/headway_app': 'https://instagram.com/headway_app', 'facebook': 'https://www.facebook.com/headwaybooks', 'com/': 'https://makeheadway.com/'}","Headway is an EdTech company that develops microlearning products, helping 120M+ private and corporate users worldwide achieve their goals."
Homebox,https://websummit.com/appearances/lis24/681da8e6-83a3-4353-a032-d2ac90b92bd5/homebox,United Kingdom,Fintech & financial services,"{'com/homebox_hq': 'https://instagram.com/homebox_hq', 'homebox': 'https://www.homebox.co.uk/'}",Homebox is a platform dedicating to simplifying home finances. Our mission is to make managing bills extraordinarily easy for tenants.
i love it,https://websummit.com/appearances/lis24/7df51ce6-8e1d-485d-a2c0-7e0069dcac30/i-love-it,United Kingdom,E-commerce & retail,"{'uk': 'https://www.uk.linkedin.com/company/iligloballimited', 'com/ilicommunity': 'https://instagram.com/ilicommunity', 'iloveit': 'https://www.iloveit.com'}",An inspirational shopping platform that rewards everyday people for their genuine recommendations with influencer worthy commission.
IDloop,https://websummit.com/appearances/lis24/855528ac-eb73-4277-a8c2-251b48ea0283/idloop,Germany,Security,"{'linkedin': 'https://www.linkedin.com/company/74990342', 'crunchbase': 'https://www.crunchbase.com/organization/idloop', 'idloop': 'https://www.idloop.com'}",IDloop enables convenient and secure biometric identification.
Imperum SOC Platform,https://websummit.com/appearances/lis24/873213a5-3aa6-4666-84ed-00da20c249b8/imperum-soc-platform,Netherlands,Security,"{'linkedin': 'https://www.linkedin.com/company/imperumio', 'com/imperum_io': 'https://x.com/imperum_io', 'io': 'https://imperum.io'}","AI-Driven SOC platform: Empower SecOps by unifying XDR, SOAR, and DFIR for seamless threat ingestion, analysis, and response"
Innovation Zed,https://websummit.com/appearances/lis24/1103b59c-b58a-4c82-bf17-48a34fd1a7ac/innovation-zed,Ireland,Healthtech & wellness,"{'linkedin': 'https://www.linkedin.com/company/innovationzed', 'innovationzed': 'https://www.innovationzed.com'}",We are a digital health company revolutionising the healthcare industry with our innovative technology for multiple daily injections.
intella,https://websummit.com/appearances/lis24/4960a625-993b-4d20-8563-e9e9b28d2035/intella,Egypt,AI & machine learning,"{'linkedin': 'https://www.linkedin.com/company/intellaworld', 'com/intellaworld': 'https://instagram.com/intellaworld', 'facebook': 'https://www.facebook.com/intellaworld', 'me': 'https://intella.me'}","Intella bridges AI advancements with Arabic by curating data in 25+ dialects for AI models, serving 420M Arabic speakers"
Jylo,https://websummit.com/appearances/lis24/b93ccee9-5697-4a85-86f7-3b3774462d1c/jylo,United Kingdom,Legal & professional services,"{'linkedin': 'https://www.linkedin.com/company/jylo', 'jylo': 'https://www.jylo.ai'}",We help organisations productise their intelligence.
Kertos,https://websummit.com/appearances/lis24/4352fb72-d688-49fa-b8cd-5a21b8d0a17e/kertos,Germany,SaaS,"{'linkedin': 'https://www.linkedin.com/company/79858930/admin/feed/posts', 'io': 'http://kertos.io'}",Kertos is a no-code SaaS solution to fully automate your data privacy operations!
Klave,https://websummit.com/appearances/lis24/9b27287e-7b98-404f-ae15-282665e41496/klave,United Kingdom,SaaS,"{'linkedin': 'https://www.linkedin.com/company/klave-network', 'crunchbase': 'https://www.crunchbase.com/organization/secretarium', 'com/KlaveNetwork': 'https://twitter.com/KlaveNetwork', 'com': 'https://klave.com'}","Build tamper-proof, privacy-first apps easily with Klave, a confidential computing platform that keeps data and code always protected."
Kuva Space,https://websummit.com/appearances/lis24/d825827c-803f-4726-b0ff-00eefc3baa80/kuva-space,Finland,Data & analytics,"{'linkedin': 'https://www.linkedin.com/company/kuva-space', 'com/KuvaSpace': 'https://x.com/KuvaSpace', 'com': 'https://kuvaspace.com'}",We empower every decision-maker with actionable planetary intelligence via breakthrough space and AI technology.
LegalFly,https://websummit.com/appearances/lis24/a25cfd60-2259-4821-88b6-72d567f9dfee/legalfly,United Kingdom,SaaS,{'legalfly': 'https://www.legalfly.ai/'},"LEGALFLY is your secure legal AI partner, streamlining workflows to save time and money. Trusted by top firms for drafting and discovery."
ListKit,https://websummit.com/appearances/lis24/a2a1c989-2b35-4b6b-bf5d-e7e7b03e60d5/listkit,United States,AI & machine learning,"{'linkedin': 'https://www.linkedin.com/company/listkit', 'crunchbase': 'https://www.crunchbase.com/organization/listkit', 'com/listkitio': 'https://twitter.com/listkitio', 'io': 'https://listkit.io'}",Verified B2B prospect data - Never pay for unverified emails again! Unlock your dream clients with AI lookalikes at Websummit
Livepeer,https://websummit.com/appearances/lis24/a946eecc-739d-4ee1-817a-1486ca97794a/livepeer,United States,AI & machine learning,"{'com/company/livepeer': 'https://wellfound.com/company/livepeer', 'linkedin': 'https://www.linkedin.com/company/livepeer', 'crunchbase': 'https://www.crunchbase.com/organization/livepeer', 'com/livepeer': 'https://twitter.com/livepeer', 'org/': 'https://livepeer.org/'}","Livepeer is a distributed compute network for video, enabling AI and real-time video processing and workflows for the future of video."
Lovys,https://websummit.com/appearances/lis24/b4135a2b-cff5-49b3-ad00-bbe49b5c7c25/lovys,France,Fintech & financial services,"{'com/company/lovys': 'https://wellfound.com/company/lovys', 'linkedin': 'https://www.linkedin.com/company/lovys', 'crunchbase': 'https://www.crunchbase.com/organization/lovys', 'com/lovysfrance': 'https://instagram.com/lovysfrance', 'com/LovysInsurance': 'https://x.com/LovysInsurance', 'facebook': 'https://www.facebook.com/LovysFrance', 'com/fr/': 'https://lovys.com/fr/'}","Lovys: the 100% digital insurance solution that adapts to your life. Customize and manage all your policies easily, anytime, anywhere."
LUNU,https://websummit.com/appearances/lis24/0b36f397-d716-42b1-a0e7-550b88845a64/lunu,Germany,Fintech & financial services,"{'linkedin': 'https://www.linkedin.com/company/lunu-solutions', 'com/lunu_solutions': 'https://instagram.com/lunu_solutions', 'com/LunuSolutions': 'https://x.com/LunuSolutions', 'io': 'https://lunu.io'}",Crypto payment solutions for online and in-store purchases. Crypto onramp to easily buy or sell crypto using fiat currency
Lupiya,https://websummit.com/appearances/lis24/c72efca2-985f-4b16-bfab-f14362789049/lupiya,Zambia,Fintech & financial services,"{'linkedin': 'https://www.linkedin.com/company/lupiya', 'crunchbase': 'https://www.crunchbase.com/organization/lupiya', 'com/lupiyaloans': 'https://instagram.com/lupiyaloans', 'com/Lupiyaloans': 'https://twitter.com/Lupiyaloans', 'facebook': 'https://www.facebook.com/Lupiyaloans', 'lupiya': 'https://www.lupiya.com'}",Lupiya is an AI-driven pan African neobank. We are backed by Google.
LutherOne,https://websummit.com/appearances/lis24/30ac3753-1664-4734-addc-357a1c6724ed/lutherone,Czechia,HR & recruitment,"{'linkedin': 'https://www.linkedin.com/company/lutherone', 'lutherone': 'https://www.lutherone.com'}",Data-centric people activation platform that elevates performance & engagement by seamlessly converting data into impactful actions
Maas,https://websummit.com/appearances/lis24/baa6d721-8da0-45cf-b707-47fb3631dbac/maas,Colombia,"Mobility, transportation & logistics","{'com/maasapp': 'https://x.com/maasapp', 'maasapp': 'https://www.maasapp.co/'}","Maas is your city's mobility hub, integrating public transit, taxis, bikes, and more with frictionless payments. Move hassle-free with Maas!"
Mashroom,https://websummit.com/appearances/lis24/d73b696d-6250-4673-bdd4-d8ce2074c9c7/mashroom,United Kingdom,Fintech & financial services,"{'co/company/mashroom-1': 'https://angel.co/company/mashroom-1', 'linkedin': 'https://www.linkedin.com/company/mashroomcom', 'crunchbase': 'https://www.crunchbase.com/organization/mashroom-4dd3', 'com/mashroomrent': 'https://instagram.com/mashroomrent', 'com/mashroomcom': 'https://twitter.com/mashroomcom', 'facebook': 'https://www.facebook.com/mashroomcom', 'com': 'https://mashroom.com'}",Wealth management for the new generation of property owners.
