Startup Name,Link,Country,Category,Social Links,Pitch
Voltiris,https://websummit.com/appearances/lis24/3e95a292-0656-4ab6-b05b-8d4511b8ccd5/voltiris,Switzerland,Energy & utilities,"{'ch': 'https://www.ch.linkedin.com/company/voltiris', 'com/': 'https://voltiris.com/'}","The first solar panels compatible with greenhouse crops, enhancing profitability, independence and sustainability for greenhouse operators."
xLongevity,https://websummit.com/appearances/lis24/d2e51e2f-8f81-4f05-9aef-5b7bd70061a9/xlongevity,Switzerland,Healthtech & wellness,"{'linkedin': 'https://www.linkedin.com/company/xlongevity', 'com/xlongevity_official': 'https://instagram.com/xlongevity_official', 'com/xlongevityHQ': 'https://x.com/xlongevityHQ', 'com': 'https://xlongevity.com'}","A Swiss holistic longevity brand pioneering in preventive wellness through coaching, testing, supplements, and advanced interventions."
1H1 Solutions,https://websummit.com/appearances/lis24/a44b3e28-96fa-43f6-b063-b9c05dc513bc/1h1-solutions,Switzerland,HR & recruitment,{'ch': 'https://1h1.ch'},1H1 helps organizations master the art of evidence-based people performance and reward management.
Advento,https://websummit.com/appearances/lis24/f9a97fd1-f496-47e0-bd50-25e0e1552c86/advento,Switzerland,E-commerce & retail,{'to/': 'https://adven.to/'},10x’s your email list with gamified lead gen tools like Advent calendars with guaranteed results. Made for D2C brands.
Aerospec SA,https://websummit.com/appearances/lis24/8c487169-3ba1-480c-a4f1-b58879b71e64/aerospec-sa,Switzerland,Sustainability & cleantech,"{'linkedin': 'https://www.linkedin.com/company/aerospecch', 'ch': 'https://aerospec.ch'}",Tracking the deadliest pollution! Smart chemical and source data about particulate matter (PM) air pollution for industries and governments.
AI Tutor,https://websummit.com/appearances/lis24/b3a2fc5d-0c9c-4ef9-b65b-95fb2cba4097/ai-tutor,Switzerland,Education,"{'ch': 'https://www.ch.linkedin.com/company/ai-tutor', 'crunchbase': 'https://www.crunchbase.com/organization/ai-tutor', 'com/aitutor_ch?igsh=MTJxYmMwZzI4NDFq': 'https://instagram.com/aitutor_ch?igsh=MTJxYmMwZzI4NDFq', 'aitutor': 'https://www.aitutor.ch'}",AI Tutor is a software which uses GPT and Deep Learning models to facilitate language learning and provide real-time classes simulations.
ailean.io,https://websummit.com/appearances/lis24/7d12b8a1-e9b3-42ce-a6b0-566bd52400d2/ailean.io,Switzerland,AI & machine learning,"{'linkedin': 'https://www.linkedin.com/company/levelly-ai/?originalSubdomain=de', 'io/': 'https://ailean.io/'}",The first OPERATIONAL AI for Real Estate and Hospitality. Not only communicating but executing any software based task in your operations!
Aiving,https://websummit.com/appearances/lis24/be5a0598-6375-467f-a583-414050975488/aiving,Switzerland,Sports & fitness,"{'linkedin': 'https://www.linkedin.com/company/82007911', 'com/aivingsports': 'https://x.com/aivingsports', 'aiving': 'https://www.aiving.ch'}","Aiving has developed software that makes smart watches useful for sports where they are not, starting with figure skating."
Alterland,https://websummit.com/appearances/lis24/6aa760b3-8ff2-4aff-8963-1ef9048b0cfb/alterland,Switzerland,SaaS,"{'linkedin': 'https://www.linkedin.com/company/alterlandsa', 'com/alterland_io': 'https://instagram.com/alterland_io', 'com/Alterland_io': 'https://twitter.com/Alterland_io', 'instagram': 'https://www.instagram.com/alterland_io', 'alterland': 'https://www.alterland.io'}",Gamified software for remote team collaboration. Immersive offices and rental spaces enhanced with VR and AI.
Atexxa Group AG,https://websummit.com/appearances/lis24/f367302a-2548-4d9c-b4e3-e666369b5d69/atexxa-group-ag,Switzerland,Data & analytics,"{'linkedin': 'https://www.linkedin.com/company/101923717/admin/dashboard', 'atexxa': 'https://www.atexxa.com/'}","We enrich global trade with a no-silos, decentralized platform that fosters collaboration in supply chains and unlocks data trade potential."
avendo,https://websummit.com/appearances/lis24/6a977c83-1632-4ada-a4e2-19e352459ec4/avendo,Switzerland,Proptech & real estate,"{'linkedin': 'https://www.linkedin.com/company/avendo-ag', 'facebook': 'https://www.facebook.com/avendoimmo', 'com/avendo': 'https://instagram.com/avendo.ch', 'com/avendo_ch': 'https://x.com/avendo_ch', 'avendo': 'https://www.avendo.ch'}","avendo revolutionizes real estate by generating and qualifying buyer and seller leads using AI, leveraging Big Data and a powerful platform"
AZKR Research,https://websummit.com/appearances/lis24/d084993e-99e7-44a9-8961-bcb6576e2a3f/azkr-research,Switzerland,Web3,"{'linkedin': 'https://www.linkedin.com/company/azkr', 'com/azkr_org': 'https://x.com/azkr_org', 'org/': 'https://azkr.org/'}","We're building Bank3, a scheme to send crypto assets to emails and social media accounts even if the recipient does not have a web3 wallet."
bayartis GmbH,https://websummit.com/appearances/lis24/75cbbdb9-1da0-407d-8d88-4b4a9a5f60cf/bayartis-gmbh,Switzerland,Healthtech & wellness,"{'linkedin': 'https://www.linkedin.com/company/bayartis', 'com/BayartisHealth': 'https://twitter.com/BayartisHealth', 'bayartis': 'https://www.bayartis.com'}","Our smart medicine cabinet & app tackle polypharmacy, improving medication management, and enhancing lives for chronic disease patients."
Beekee,https://websummit.com/appearances/lis24/63205216-0494-43c3-9c04-9282bd8f508e/beekee,Switzerland,Education,"{'linkedin': 'https://www.linkedin.com/company/beekee', 'com/beekee': 'https://instagram.com/beekee.ch', 'com/beekee_official': 'https://twitter.com/beekee_official', 'ch/': 'https://beekee.ch/'}","Digital classrooms everywhere, without internet or power"
BRAINS,https://websummit.com/appearances/lis24/ec5d6364-fb01-4772-9763-8bb86050f8d7/brains,Switzerland,Web3,"{'linkedin': 'https://www.linkedin.com/company/brainscx', 'com/brainscx': 'https://twitter.com/brainscx', 'brains': 'http://www.brains.cx'}",Intelligent AI Agents for Web3 Success
BRIGHTSIDE AI,https://websummit.com/appearances/lis24/a2f4e477-f9f3-4dfe-812c-eb5d055818bc/brightside-ai,Switzerland,AI & machine learning,"{'linkedin': 'https://www.linkedin.com/company/brside', 'crunchbase': 'https://www.crunchbase.com/organization/brightside-82a7', 'com/': 'https://brside.com/'}",A Swiss cybersecurity SaaS that helps teams combat personalized AI-enabled phishing threats. Protect your team today!
Calleebree,https://websummit.com/appearances/lis24/6fe35667-6c2e-4cf1-9abe-81bc4b71de36/calleebree,Switzerland,SaaS,"{'linkedin': 'https://www.linkedin.com/company/calleebree', 'com/calleebree': 'https://twitter.com/calleebree', 'facebook': 'https://www.facebook.com/profile.php?id=100088320634071', 'calleebree': 'https://www.calleebree.io'}",Beyond digital marketing: extend your commercial performance to outbound sales. Fully digital. 100% SaaS. AI-powered. Boost your sales now!
Chaslay,https://websummit.com/appearances/lis24/89b493c2-a0f4-471c-9aaa-0164d88b3743/chaslay,Switzerland,SaaS,"{'linkedin': 'https://www.linkedin.com/company/chaslay', 'crunchbase': 'https://www.crunchbase.com/organization/chaslay', 'com/getChaslay': 'https://x.com/getChaslay', 'com': 'https://chaslay.com'}","Online Ordering, Gift Cards, Payments & Marketing Solution - White label website & shop system for grocery, takeaway & restaurants."
Clever Guide,https://websummit.com/appearances/lis24/961f1bdb-bc24-4c17-9e3a-4fd20bda28f4/clever-guide,Switzerland,Education,"{'angellist': 'https://stack.angellist.com/company/clever-guide', 'linkedin': 'https://www.linkedin.com/company/clever-guide', 'crunchbase': 'https://www.crunchbase.com/organization/clever-guide', 'com/clever': 'https://instagram.com/clever.guide', 'ai': 'https://cleverguide.ai'}","Clever Guide is an AI-powered platform providing students with personalized, real-time guidance for informed educational decisions."
Composite Recycling SA,https://websummit.com/appearances/lis24/55d91fbe-bee4-4f4e-9574-3f322fbb807e/composite-recycling-sa,Switzerland,Sustainability & cleantech,"{'linkedin': 'https://www.linkedin.com/company/composite-recycling', 'ch/': 'https://composite-recycling.ch/'}","Composite Recycling turns composite waste into reusable materials, driving circularity in wind energy, marine, and construction industries."
Creaitor,https://websummit.com/appearances/lis24/25834f7f-a53c-4918-abcc-e2f2378076bd/creaitor,Switzerland,AI & machine learning,"{'linkedin': 'https://www.linkedin.com/company/creaitor', 'crunchbase': 'https://www.crunchbase.com/organization/creaitor', 'com/CreaitorAI': 'https://x.com/CreaitorAI', 'facebook': 'https://www.facebook.com/groups/creaitor', 'creaitor': 'https://www.creaitor.ai'}",The AI-driven platform to streamline your content marketing lifecycle.
Crypto United Investment Partners,https://websummit.com/appearances/lis24/cec6a14d-c7e8-4807-9f72-947a01eff377/crypto-united-investment-partners,Switzerland,Fintech & financial services,"{'linkedin': 'https://www.linkedin.com/company/crypto-united-investment-partners', 'cryptounited': 'https://www.cryptounited.ch/'}",Asset management that combines classic finance with investment opportunities in crypto.
Dakko AI,https://websummit.com/appearances/lis24/8f71f6a9-1491-427d-b3d5-f5b26b2a60de/dakko-ai,Switzerland,Web3,"{'linkedin': 'https://www.linkedin.com/company/dakko-ai', 'crunchbase': 'https://www.crunchbase.com/organization/dakko-ai', 'com/dakko_ai': 'https://x.com/dakko_ai', 'dakko': 'https://www.dakko.ai/'}",Dakko defines trustworthy AI in web3. We leverage deep learning to enable full observability and risk management in decentralized systems
Deal House,https://websummit.com/appearances/lis24/c9d8487e-a9fa-4334-9492-d047b3472a32/deal-house,Switzerland,SaaS,"{'linkedin': 'https://www.linkedin.com/company/deal-house', 'facebook': 'https://www.facebook.com/DealHouseCH', 'ch': 'https://deal-house.ch'}",A marketplace for buying and selling businesses
Dentexion,https://websummit.com/appearances/lis24/6206bed5-1691-42fe-a832-d8cb80e48da7/dentexion,Switzerland,Healthtech & wellness,"{'linkedin': 'https://www.linkedin.com/company/dentexion', 'com/': 'https://dentexion.com/'}","Transforming dental diagnostics with AI. Objective measures, automatic health monitoring, and intuitive patient communication. 🦷🌟"
devops.security,https://websummit.com/appearances/lis24/8737b56e-1b36-4e7e-b6a9-9809b631c9a4/devops.security,Switzerland,SaaS,"{'linkedin': 'https://www.linkedin.com/company/kakugo', 'security': 'https://devops.security'}",Secure your products by design. Identify security issues earlier than scanners or pentests ever could with dev-centric threat modeling.
divercefi,https://websummit.com/appearances/lis24/5beda67b-4653-4322-96c1-7f7ff2872efc/divercefi,Switzerland,Fintech & financial services,"{'linkedin': 'https://www.linkedin.com/company/divercefi', 'com/divercefi': 'https://x.com/divercefi', 'com': 'https://divercefi.com'}","Social wealth and investment management powered by Web3 I --> Plan, track, and manage all your wealth & investments on app.divercefi.com"
Do Your Order,https://websummit.com/appearances/lis24/7e8c3a14-e32f-4cbf-83ad-6d9f43d8057e/do-your-order,Switzerland,Travel & hospitality,"{'linkedin': 'https://www.linkedin.com/company/do-your-order', 'com/doyourorder': 'https://instagram.com/doyourorder', 'facebook': 'https://www.facebook.com/doyourorder24', 'doyourorder': 'https://www.doyourorder.com'}",Doyo is an all-in-one mobile-friendly solution for restaurants and bars; adoption increases client satisfaction and profit margins
Elysium Lab,https://websummit.com/appearances/lis24/bd52da3a-fdb4-42d8-8b72-bc1c4f00ff92/elysium-lab,Switzerland,Web3,"{'linkedin': 'https://www.linkedin.com/company/elysiumlab', 'crunchbase': 'https://www.crunchbase.com/organization/elysium-lab', 'com/elysiumlab_io': 'https://x.com/elysiumlab_io', 'elysiumlab': 'https://www.elysiumlab.io'}","We are building the first Keyless Multi-Factor Authentication System on-chain, part of our secure and simple Wallet for Bitcoin & Stablecoin"
Emissium,https://websummit.com/appearances/lis24/d5c48305-63e7-48b2-9cba-8627e97cebce/emissium,Switzerland,Energy & utilities,"{'linkedin': 'https://www.linkedin.com/company/emissium', 'emissium': 'https://www.emissium.io/'}",Emissium tracks and reduces electricity carbon emissions - promoting transparency and empowering companies to be energy transition actors.
EMPIRICO,https://websummit.com/appearances/lis24/7e49e064-f61d-4341-868b-a56039ad03f0/empirico,Switzerland,Fintech & financial services,"{'linkedin': 'https://www.linkedin.com/company/empiricofinance', 'finance': 'https://empirico.finance'}","Empirico makes it easy to test, analyse and implement any systematic investment strategy. Designed by pro investors, for all investors."
Firstday AI,https://websummit.com/appearances/lis24/21fc4d8c-af1e-4401-bb5d-7f2d2b162344/firstday-ai,Switzerland,AI & machine learning,"{'linkedin': 'https://www.linkedin.com/company/firstdayai', 'com/firstdayai': 'https://x.com/firstdayai', 'firstdayai': 'https://www.firstdayai.com'}","Onboarding doesn't have to suck. Get engineers from zero to productive 10x faster with Firstday, the AI onboarding platform."
Galeri AG,https://websummit.com/appearances/lis24/2c1e3bf6-75d4-4f37-a1d6-0859999a1dbf/galeri-ag,Switzerland,Healthtech & wellness,"{'ch': 'https://www.ch.linkedin.com/in/ajintha-p-02177750', 'com/galeriworld': 'https://x.com/galeriworld', 'world': 'https://galeri.world'}",Galeri AG is a medtech company with two product pipelines. 1. AR / VR for the aviation industry. 2. Opthalmic pharmaceutical (Eagle.i)
GAMEGATE,https://websummit.com/appearances/lis24/2979bb70-d657-47f5-9c1f-a52cf9f276b9/gamegate,Switzerland,"Gaming, VR & AR","{'com/gamegate': 'https://instagram.com/gamegate.gg', 'com/GAMEG8GG': 'https://x.com/GAMEG8GG', 'gg/': 'https://gamegate.gg/'}",Join the Esport Revolution! Compete with other Gamers in your favorite video game and play for stakes. Esport is for everyone!
GoEko,https://websummit.com/appearances/lis24/7aaf05d1-c92a-482d-af03-3e3e28fc5b0c/goeko,Switzerland,Sustainability & cleantech,"{'linkedin': 'https://www.linkedin.com/company/101331971/admin/dashboard', 'ch/home': 'https://goeko.ch/home'}",GoEko's matchmaking platform connects construction/real estate SMEs with adapted cleantech and financing to speed up their green transition.
GPT Analyst,https://websummit.com/appearances/lis24/840e0b2b-f8d5-4cf3-b2ca-55cf05b622d5/gpt-analyst,Switzerland,Fintech & financial services,{'app/about': 'https://gptanalyst.app/about'},Discover novel financial insights daily. Customize and backtest AI-driven prompts for smarter investment screening and decision-making.
Hacky,https://websummit.com/appearances/lis24/b2ac86cd-fcce-423c-ba0b-79a6b15f4eec/hacky,Switzerland,Security,"{'linkedin': 'https://www.linkedin.com/company/hacky-ch', 'ch': 'https://hacky.ch'}",When getting hacked suddenly becomes a good thing. Bug Bounty for your company.
Health InnoTech,https://websummit.com/appearances/lis24/e1606168-3f23-4da2-a208-df444738be9a/health-innotech,Switzerland,Healthtech & wellness,"{'linkedin': 'https://www.linkedin.com/company/healthinnotech', 'ch': 'https://healthinnotech.ch'}",AI-driven sleep revolution for optimal health. Advanced analytics meets personalized coaching and non-invasive technology.
hoggo,https://websummit.com/appearances/lis24/8f36d3ca-817d-42a2-8201-1d6c6f4544ca/hoggo,Switzerland,SaaS,"{'linkedin': 'https://www.linkedin.com/company/hoggo-io', 'crunchbase': 'https://www.crunchbase.com/organization/hoggo-3b85', 'com/hoggo_io': 'https://x.com/hoggo_io', 'hoggo': 'https://www.hoggo.io'}","AI platform for privacy/security due diligence automation, where sellers showcase compliance and buyers evaluate, manage & monitor vendors."
Horizons Architecture AI Systems,https://websummit.com/appearances/lis24/706dd764-f0a9-4a48-ae06-39afbaee3616/horizons-architecture-ai-systems,Switzerland,AI & machine learning,{'ai/': 'https://horizonsarchitecture.ai/'},"HA leverages AI, hybrid human-machine systems and augmented collective intelligence to empower organizations transform complex endeavors."
IMPRESSO,https://websummit.com/appearances/lis24/e3cf8409-2b9d-4ddb-9b19-e123863ca7d9/impresso,Switzerland,Web3,"{'co/company/impressoapp': 'https://angel.co/company/impressoapp', 'linkedin': 'https://www.linkedin.com/company/impresso', 'crunchbase': 'https://www.crunchbase.com/organization/impresso-labs', 'com/impresso': 'https://instagram.com/impresso.app', 'com/impresso_app': 'https://x.com/impresso_app', 'facebook': 'https://www.facebook.com/theimpressoapp', 'impressoapp': 'https://www.impressoapp.com'}","AI driven career coaching, achievement validation, and real-world networking. Get invited to jobs instead of applying, powered by Crypto."
incorpo studio,https://websummit.com/appearances/lis24/2c0d9770-1f37-44bd-9b77-d87f4679efd4/incorpo-studio,Switzerland,Healthtech & wellness,"{'linkedin': 'https://www.linkedin.com/company/incorpostudio', 'com/incorpostudio': 'https://instagram.com/incorpostudio', 'facebook': 'https://www.facebook.com/incorpostudio', 'com/': 'https://incorpostudio.com/'}","For corporate wellness, we provide personalized, research-based exercise programs that alleviate back pain and boost overall well-being."
Investment Analytics,https://websummit.com/appearances/lis24/3948fa51-457a-41be-8f94-88a41c8df3a2/investment-analytics,Switzerland,Fintech & financial services,{'investmentanalytics': 'https://www.investmentanalytics.tech/'},"Enhance your Investments: Automate equity research, craft tailored portfolios, and unlock actionable insights effortlessly."
MADVOXEL,https://websummit.com/appearances/lis24/33f13034-b03c-4ff3-9f2e-25ec62ba78cb/madvoxel,Switzerland,Telecommunications & IT,"{'linkedin': 'https://www.linkedin.com/company/madvoxel', 'com/MadVoxel_AG': 'https://x.com/MadVoxel_AG', 'com': 'https://madvoxel.com'}","Tech company specializing in computer graphics and computer vision, set to revolutionize 3D asset creation using mobile LiDAR sensors."
myflow,https://websummit.com/appearances/lis24/097dc9d7-c1f4-44e0-9afd-20bf54324426/myflow,Switzerland,Sports & fitness,"{'linkedin': 'https://www.linkedin.com/company/mind-metrix', 'crunchbase': 'https://www.crunchbase.com/organization/mindmetrix', 'myflow': 'https://www.myflow.ch'}","Designed for sports professionals, myflow is perfected to enhance mental performance and thrive in high-pressure situations."
NextGen Voice AI,https://websummit.com/appearances/lis24/2f934ddc-a73b-40b0-9722-b89b2d96e4c6/nextgen-voice-ai,Switzerland,AI & machine learning,"{'linkedin': 'https://www.linkedin.com/company/nextgenvoiceai/?viewAsMember=true', 'com/NextGen_VoiceAI': 'https://x.com/NextGen_VoiceAI', 'nextgen-voice': 'https://www.nextgen-voice.tech'}","We build advanced AI voice virtual agents that operate through phone calls, providing real-time appointment booking and information access."
Not Nice,https://websummit.com/appearances/lis24/a0e789a0-8a59-4c21-8092-e3df485029c1/not-nice,Switzerland,"Advertising, content & marketing","{'linkedin': 'https://www.linkedin.com/company/not-nice', 'com/notnice': 'https://instagram.com/notnice.ch', 'io': 'https://notnice.io'}","Level up your brand with AI-powered, creator-made videos from notnice.io. Fast, fun, and impactful content ready to captivate any audience!"
Nuuro,https://websummit.com/appearances/lis24/f6e6f165-c880-49d9-8d45-61c622907453/nuuro,Switzerland,Healthtech & wellness,"{'linkedin': 'https://www.linkedin.com/company/nuuro', 'com/nuuroapp': 'https://twitter.com/nuuroapp', 'nuuro': 'https://www.nuuro.com'}","Your personal AI dietician, anywhere, anytime. Scan a menu and Nuuro tells you what to pick. Analyzes diets, taste, health - even your mood!"
Olymp,https://websummit.com/appearances/lis24/b4016624-df76-4551-9c0c-5b4b8f2b6d2d/olymp,Switzerland,Fintech & financial services,"{'linkedin': 'https://www.linkedin.com/company/olympswitzerland', 'olymp': 'https://www.olymp.finance/'}",Revolutionizing financial analysis through artificial intelligence.
Pepesto,https://websummit.com/appearances/lis24/d636dc9e-37e4-48fe-b032-af1ae2b907e3/pepesto,Switzerland,Healthtech & wellness,"{'linkedin': 'https://www.linkedin.com/company/pepesto/?viewAsMember=true', 'pepesto': 'https://www.pepesto.com'}","We make healthy, homemade cooking accessible, affordable, and personalized for everyone through smart meal planning and shopping."
Platonix AG,https://websummit.com/appearances/lis24/afff2a50-d660-44f5-a918-58d86db1285b/platonix-ag,Switzerland,Healthtech & wellness,"{'linkedin': 'https://www.linkedin.com/company/platonix/?viewAsMember=true', 'platonix': 'https://www.platonix.ch/'}","AI-powered interactive OTT for holistic wellness, connecting consumers and experts, plus a curated well-being product marketplace"
Precise Health SA,https://websummit.com/appearances/lis24/2c0453b5-cb42-4d5b-8f4f-a5ad7c3d207b/precise-health-sa,Switzerland,Healthtech & wellness,{'io/': 'https://precisehealth.io/'},"Precise Health uses AI to engineer targeted bacteriophage therapies, offering personalized solutions to chronic bacterial infections"
Qala AG,https://websummit.com/appearances/lis24/6188a3d9-ae34-413a-bdbb-ce6d8ace14fe/qala-ag,Switzerland,SaaS,"{'linkedin': 'https://www.linkedin.com/company/qala-technologies', 'letsqala': 'https://www.letsqala.com'}","Event Gateway and Data Vault with powerful features that simplify compliance, modernize your event infrastructure, and secure your data."
QPQ AG,https://websummit.com/appearances/lis24/1c82bbc7-9d37-482a-8557-adb5b6275df1/qpq-ag,Switzerland,Web3,"{'linkedin': 'https://www.linkedin.com/company/qpq-ag', 'crunchbase': 'https://www.crunchbase.com/organization/qpq-8eaa', 'com/QPQ_IoEcs': 'https://x.com/QPQ_IoEcs', 'swiss/': 'https://qpq.swiss/'}",We’re deploying an actual blockchain that actually works and putting the ‘currency’ back into ‘crypto’.
Qworum,https://websummit.com/appearances/lis24/f873ed82-335b-4082-aa5a-dfe1b2db18d8/qworum,Switzerland,Telecommunications & IT,"{'linkedin': 'https://www.linkedin.com/company/qworum', 'com/QworumNet': 'https://x.com/QworumNet', 'net': 'https://qworum.net'}","Web-based platform for building integrated IT systems & employee UXes across internal applications, partner applications, SaaS, micro-SaaS."
Relio,https://websummit.com/appearances/lis24/3efd7f09-313a-4a2f-99b8-665891346329/relio,Switzerland,Fintech & financial services,"{'linkedin': 'https://www.linkedin.com/company/relioch', 'crunchbase': 'https://www.crunchbase.com/organization/relio', 'com/Relio_CH': 'https://twitter.com/Relio_CH', 'ch/en/': 'https://relio.ch/en/'}",Relio offers the benefits of a digital business account to complex companies in need of a fully customized approach.
Rewardy,https://websummit.com/appearances/lis24/09d9ff58-b815-4c34-8ee6-87b6115050c1/rewardy,Switzerland,Web3,"{'linkedin': 'https://www.linkedin.com/company/rewardy-gg', 'com/rewardy_gg': 'https://x.com/rewardy_gg', 'gg': 'https://rewardy.gg'}",Embedded reward systems for web3 platforms
Rootalky,https://websummit.com/appearances/lis24/cac441ec-1066-4fa7-9df0-5e4c1007d05b/rootalky,Switzerland,Education,"{'linkedin': 'https://www.linkedin.com/in/elsie-o-50704a140', 'com/hi_rootalky': 'https://instagram.com/hi_rootalky', 'com': 'https://rootalky.com'}","Rootalky is a 1-on-1 online language platform connecting learners with expert coaches, offering personalized lessons in various languages."
Serapy,https://websummit.com/appearances/lis24/870a667d-234f-4c09-b03b-7ba067da0353/serapy,Switzerland,Education,"{'linkedin': 'https://www.linkedin.com/company/serapyltd', 'ch': 'https://serapy.ch'}","We use the power of online gamification and role play to make your board & compliance training fun, relevant, easy to understand and recall."
Smatch,https://websummit.com/appearances/lis24/d29e6224-9276-4116-8a43-d24df0aae2a9/smatch,Switzerland,Sports & fitness,"{'linkedin': 'https://www.linkedin.com/company/smatchsa', 'com/smatchapp?igsh=MzlsNHpqc3Z4b3g2': 'https://instagram.com/smatchapp?igsh=MzlsNHpqc3Z4b3g2', 'smatchsports': 'https://www.smatchsports.com'}","A social app bringing people together in real life through sports. Find buddies nearby, enjoy activities, and build meaningful connections."
staaake,https://websummit.com/appearances/lis24/a5051868-2e41-4eda-8aa1-7409f5bbb658/staaake,Switzerland,Venture capital & private equity,"{'linkedin': 'https://www.linkedin.com/company/staaake', 'com/staaake': 'https://instagram.com/staaake', 'com/staaakeIN': 'https://x.com/staaakeIN', 'staaake': 'https://www.staaake.in/'}",Turn your loyal followers or customers into stakeholders
Swiss Chatbot Factory,https://websummit.com/appearances/lis24/d655157d-baf5-4b21-8306-26a7733acefe/swiss-chatbot-factory,Switzerland,AI & machine learning,"{'linkedin': 'https://www.linkedin.com/showcase/swiss-chatbot-factory/?viewAsMember=true', 'swiss-bot': 'https://www.swiss-bot.com'}",Swiss Chatbot Factory is the Nespresso of chatbots. Just provide your URL and get an AI-powered chatbot trained on your site in minutes.
TeqID Connect,https://websummit.com/appearances/lis24/9f22f41b-f86a-4adc-9f04-88040f50d09a/teqid-connect,Switzerland,SaaS,"{'linkedin': 'https://www.linkedin.com/company/teq-id', 'com/teqID_official': 'https://twitter.com/teqID_official', 'org': 'https://teqid.org'}",B2B platform that FOUND your next customers with AI. Come and claim
TestResults.io,https://websummit.com/appearances/lis24/21583c7f-ab56-4d42-9036-48041575ec78/testresults.io,Switzerland,SaaS,"{'linkedin': 'https://www.linkedin.com/company/testresultsio', 'io': 'https://testresults.io'}","AI-driven platform to make digital business processes reliable across various applications and devices, the backbone of digitalization."
